# Synthetic ASCII display-numeric fields, not customer records.
# field|scale|expected invariant decimal, or ERROR
00000000000{|2|0.00
00000000000A|2|0.01
00000000000B|2|0.02
00000000000C|2|0.03
00000000000D|2|0.04
00000000000E|2|0.05
00000000000F|2|0.06
00000000000G|2|0.07
00000000000H|2|0.08
00000000000I|2|0.09
00000000000}|2|0.00
00000000000J|2|-0.01
00000000000K|2|-0.02
00000000000L|2|-0.03
00000000000M|2|-0.04
00000000000N|2|-0.05
00000000000O|2|-0.06
00000000000P|2|-0.07
00000000000Q|2|-0.08
00000000000R|2|-0.09
00000001940{|2|194.00
0000009190}|2|-919.00
0000000678H|2|67.88
000000001234|2|12.34
99999999999I|2|9999999999.99
99999999999R|2|-9999999999.99
00000000001B|0|12
00000000001B|1|1.2
00000000001B|3|0.012
9223372036854775807|3|9223372036854775.807
9223372036854775808|0|ERROR
00000000001B|4|ERROR
00000000001B|-1|ERROR
|2|ERROR
           |2|ERROR
0000000123Z|2|ERROR
}0000009190|2|ERROR
-0000009190|2|ERROR
+0000009190|2|ERROR
00000 1940{|2|ERROR
00000001.23|2|ERROR
